web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
"1609406515-2781","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=61","null","Nürnberger Straße 27, Charlottenburg, Berlin","389.000 €","72,54 m²","2 Zi.2","null","null","/expose/111939759"
"1609406392-2520","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=75","null","Zehlendorf, Berlin","655.000 €","144 m²","5 Zi.5","Balkon/Terrasse","Einbauküche","/expose/124654561"
"1609406744-3471","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=27","null","Hasenheide 67, Neukölln (Ortsteil), Berlin","239.900 €","55,62 m²","2 Zi.2","Provisionsfrei*","Balkon/Terrasse","/expose/108382523"
"1609406744-3463","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=27","null","Friedenau, Berlin","815.000 €","125 m²","4 Zi.4","Balkon/Terrasse","Einbauküche","/expose/124007868"
"1609406281-2207","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=90","null","Uhlandstraße 128, Wilmersdorf, Berlin","679.000 €","121,18 m²","4 Zi.4","Balkon/Terrasse","null","/expose/115366777"
"1609406649-3183","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=41","null","Wedding, Berlin","190.000 €","41 m²","1 Zi.1","Einbauküche","null","/expose/125519302"
"1609406881-3781","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=11","Berlin - Wedding: Eigentumswohnung als Kapitalanlage 
in zentraler Lage - UWE G. BACHMANN","Wedding, Berlin","234.000 €","67 m²","2 Zi.2","null","null","/expose/124291809"
"1609406562-2936","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=54","null","Bossestraße 8, Friedrichshain, Berlin","564.000 €","123 m²","3 Zi.3","Provisionsfrei*","Keller","/expose/117133746"
"1609406851-3712","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=15","null","Schonensche Strasse 4, Pankow (Ortsteil), Berlin","319.000 €","67 m²","2 Zi.2","Balkon/Terrasse","Einbauküche","/expose/124440182"
"1609406673-3241","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=38","null","Lichterfelde, Berlin","229.000 €","59 m²","2 Zi.2","Balkon/Terrasse","null","/expose/122899653"
"1609406470-2653","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=68","null","Moabit, Berlin","124.284 €","31,82 m²","1 Zi.1","Online-Besichtigung","Balkon/Terrasse","/expose/125358939"
"1609406921-3907","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=5","NEUSehr schöne Kiezlage Niederschöneweide-
Sonniger Altbau renoviert","Niederschöneweide, Berlin","196.000 €","52 m²","2 Zi.2","Online-Besichtigung","Balkon/Terrasse","/expose/124986579"
"1609406756-3503","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=25","null","Moabit, Berlin","450.000 €","82 m²","3 Zi.3","Online-Besichtigung","Einbauküche","/expose/124133983"
"1609406731-3435","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=29","HANDJERY – FRIEDENAU LIVING","Friedenau, Berlin","443.800 - 899.800 €","75,72 - 126,61 m²","Juni 2022","null","null","https://www.immobilienscout24.de/neubau/c-c-birnstiel-immobilien-e-k/handjery-friedenau-living/93305.html"
"1609406938-3957","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=3","Provisionsfrei für den Käufer: Traumhafte DG-Wohnung mit unverbaubarem Weitblick","Wilmersdorf, Berlin","538.000 €","97 m²","2 Zi.2","Online-Besichtigung","Provisionsfrei*","/expose/122545585"
"1609406576-2975","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=52","null","Knesebeckstr. 00, Charlottenburg, Berlin","380.000 €","55 m²","2 Zi.2","Keller","null","/expose/120488102"
"1609406763-3524","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=24","null","Mitte (Ortsteil), Berlin","1.200.000 €","141 m²","4 Zi.4","Balkon/Terrasse","Einbauküche","/expose/123900019"
"1609406555-2919","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=55","null","Gubener Straße 37, Friedrichshain, Berlin","379.423,52 €","81,9 m²","3 Zi.3","Online-Besichtigung","Balkon/Terrasse","/expose/116369590"
"1609406900-3848","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=8","1-Zimmer-Apartment mit verglastem Balkon in Friedenau","Rembrandtstraße 20-21, Schöneberg, Berlin","209.990 €","34,12 m²","1 Zi.1","Provisionsfrei*","Keller","/expose/121600773"
"1609406542-2871","https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=57","null","Kavalierstraße 19 B, Pankow (Ortsteil), Berlin","659.000 €","148,38 m²","5 Zi.5","Balkon/Terrasse","Keller","/expose/115006764"
