web-scraper-order,web-scraper-start-url,title,address,price,livingSpace,rooms,tag1,tag2,linkRef
1609153883-864,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=57,null,"Hermsdorf, Berlin",199.00 €,"60,82 m²",2 Zi.2,Balkon/Terrasse,Einbauküche,/expose/121451157
1609153925-999,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=51,null,"Prenzlauer Berg, Berlin",219.50 €,"41,85 m²","1,5 Zi.1,5",Einbauküche,Keller,/expose/122284792
1609153613-62,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=97,null,"Reinickendorf (Ortsteil), Berlin",275.00 €,58 m²,2 Zi.2,Balkon/Terrasse,Keller,/expose/122253675
1609154055-1374,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=32,null,"Prenzlauer Berg, Berlin",1.700.000 €,"125,3 m²",2 Zi.2,Balkon/Terrasse,Einbauküche,/expose/120213028
1609154209-1830,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=9,Wilhelmsaue32,"Wilhelmsaue 32, Wilmersdorf, Berlin",265.000 - 1.240.000 €,"30,00 - 150,00 m²",Herbst 2020,null,null,https://www.immobilienscout24.de/neubau/diamona-harnisch/wilhelmsaue32/73442.html
1609153861-801,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=60,null,"Güntzelstraße 26d, Wilmersdorf, Berlin",499.00 €,"89,2 m²",3 Zi.3,Online-Besichtigung,Balkon/Terrasse,/expose/124409883
1609153779-599,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=71,null,"Wilmersdorf, Berlin",329.00 €,58 m²,2 Zi.2,Einbauküche,null,/expose/125248232
1609154007-1227,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=39,null,"Althoffstraße 3, Steglitz, Berlin",549.00 €,99 m²,3 Zi.3,Balkon/Terrasse,Keller,/expose/117873738
1609154048-1344,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=33,null,"Wilmersdorf, Berlin",399.00 €,"61,68 m²",2 Zi.2,Balkon/Terrasse,Keller,/expose/124062110
1609153974-1130,https://www.immobilienscout24.de/Suche/de/berlin/berlin/wohnung-kaufen?pagenumber=44,null,"Friedrichshain, Berlin",689.00 €,"107,6 m²",4 Zi.4,Balkon/Terrasse,Garten,/expose/125154554
